Gene	chr	start	end	chain	CGC_status	Alias	Gene_illustration	Gene_type	Gene_loci	Ensembl_gene_loci	RefSeq	Pubmed
MYC	chr8	128748315	128753680	+	CGC OG	BHLHE39,C-MYC,MRTL,MYCC	MYC proto-oncogene, bHLH transcription factor	gene with protein product	8q24.21	ENSG00000136997	NM_002467	
NFIB	chr9	14081842	14398982	-	NA	HMGIC/NFIB,NF-I/B,NF1-B,NFI-B,NFI-RED,NFIB2,NFIB3	nuclear factor I B	gene with protein product	9p23-p22.3	ENSG00000147862	NM_005596	7590749
IGF2BP3	chr7	23349828	23510086	-	NA	CT98,IMP-3,IMP3,KOC,KOC1,VICKZ3,CANCER/TESTIS ANTIGEN 98	insulin like growth factor 2 mRNA binding protein 3	gene with protein product	15q24.2	ENSG00000177971	NM_018285	9891060|9178771
ZNFX1	chr20	47854483	47894963	-	NA	FLJ11277,KIAA1404	zinc finger NFX1-type containing 1	gene with protein product	20q13.13	ENSG00000124201	NM_021035	10718198
THBS1	chr15	39873294	39891667	+	NA	THBS,THBS-1,TSP,TSP-1,THROMBOSPONDIN-1P180	thrombospondin 1	gene with protein product	15q14	ENSG00000137801	NM_003246	2341158|2335352
CCND1	chr11	69455855	69469242	+	CGC OG	BCL1,D11S287E,PRAD1,U21B31	cyclin D1	gene with protein product	11q13.3	ENSG00000110092	NM_053056	1826542|1833066
BCL11A	chr2	60678302	60780702	-	CGC OG	BCL11A-L,BCL11A-M,BCL11A-S,BCL11A-XL,CTIP1,DILOS,EVI9,HBFQTL5,ZNF856,KIAA1809	B-cell CLL/lymphoma 11A	gene with protein product	2p16.1	ENSG00000119866	NM_022893	11719382|18245381
MNT	chr17	2287354	2304412	-	NA	BHLHD3,MAD6,MXD6,ROX,MAX-INTERACTING PROTEIN	MAX network transcriptional repressor	gene with protein product	17p13.3	ENSG00000070444	NM_020310	9598315
ARID1A	chr1	27019727	27107668	+	CGC TSG	B120,BAF250,BAF250A,BM029,C1ORF4,ELD,HELD,HOSA1,MRD14,OSA1,P270,SMARCF1,C10RF4	AT-rich interaction domain 1A	gene with protein product	1p36.11	ENSG00000117713	NM_139135	9630625|9434167
VIM	chr10	17270258	17279584	+	NA	CTRCT30,HEL113	vimentin	gene with protein product	10p13	ENSG00000026025	NM_003380	
UBC	chr12	125398133	125401914	-	NA	RPS27A,HMG20,POLYUBIQUITIN-C	ubiquitin C	gene with protein product	12q24.3	ENSG00000150991	NM_021009	1315303|11872750
CHD2	chr15	93426526	93571237	+	CGC TSG	EEOC,DSCAM,DKFZP547I1315,DKFZP686E01200,DKFZP781D1727,FLJ38614	chromodomain helicase DNA binding protein 2	gene with protein product	21q22.2	ENSG00000171587	NM_001389	9326634
HNRNPA1	chr12	54673977	54680871	+	NA	ALS20,HNRNP A1,HNRNP-A1,HNRPA1,IBMPFD3,UP 1,HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	gene with protein product	12q13.13	ENSG00000135486	NM_031157	1733858|23455423
HOXB2	chr17	46620017	46622351	-	NA	HOX-2.8,HOX2H	homeobox B2	gene with protein product	17q21.32	ENSG00000173917	NM_002145	1973146|1358459
SIN3A	chr15	75663274	75748124	-	NA	WITKOS,DKFZP434K2235	SIN3 transcription regulator family member A	gene with protein product	15q24.2	ENSG00000169375	NM_015477	10773092|7601471
LDB1	chr10	103867340	103880210	-	NA	CLIM-2,CLIM2,LDB-1,NLI,LDB2,CARBOXY TERMINAL LIM DOMAIN PROTEIN 2	LIM domain binding 1	gene with protein product	4p15.32	ENSG00000169744	NM_001130834	9503020|9799849
ITGB1	chr10	33218752	33294720	-	NA	CD29,FNRB,GPIIA,MDF2,MSK12,VLA-BETA,VLAB	integrin subunit beta 1	gene with protein product	10p11.22	ENSG00000150093	NM_002211	2524991
CDK6	chr7	92234235	92463231	-	CGC OG	MCPH12,PLSTIRE,CDKN6	cyclin dependent kinase 6	gene with protein product	7q21.2	ENSG00000105810	NM_001145306	1639063
QKI	chr6	163835675	163999628	+	CGC TSG/OG	HQK,HQKI,QK,QK1,QK3,HKQ	QKI, KH domain containing RNA binding	gene with protein product	6q26	ENSG00000112531	NM_006775	10535969
GNB2L1	chr5	180663909	180675096	-	NA	RACK1	NA	gene with protein product	5q35.3	ENSG00000204628	NM_006098	NA
RTN4	chr2	55254343	55339757	-	NA	ASY,NBLA00271,NBLA10545,NI220/250,NOGO,NOGO-A,NOGO-B,NOGO-C,NOGOC,NSP-CL,RTN-X,RTN4-A,RTN4-B1,RTN4-B2,RTN4-C,KIAA0886	reticulon 4	gene with protein product	2p16.1	ENSG00000115310	NM_001321859	10667797|10773680
TBX2	chr17	59477271	59486827	+	NA	NA	T-box 2	gene with protein product	17q23.2	ENSG00000121068	NM_005994	8530034
OSR2	chr8	99956631	99964332	+	NA	FLJ90037	odd-skipped related transciption factor 2	gene with protein product	8q22.2	ENSG00000164920	NM_053001	
C5ORF39	chr5	43039335	43043272	-	NA	ANXA2R	NA	gene with protein product	5p12	ENSG00000177721	NM_001014279	NA
GATA6	chr18	19749404	19782491	+	NA	NA	GATA binding protein 6	gene with protein product	18q11.2	ENSG00000141448	NM_005257	8975704
INHBA	chr7	41706766	41744933	-	NA	NA	inhibin beta A subunit	gene with protein product	7p14.1	ENSG00000122641	NM_002192	3345731
GSK3B	chr3	119540170	119813264	-	NA	NA	glycogen synthase kinase 3 beta	gene with protein product	3q13.33	ENSG00000082701	NM_001146156	10486203
HDGF	chr1	156712318	156736717	-	NA	HMG1L2,HIGH-MOBILITY GROUP PROTEIN 1-LIKE	heparin binding growth factor	gene with protein product	1q23.1	ENSG00000143321	NM_004494	8833162|26845719
HMGA2	chr12	66217911	66360075	+	CGC OG	BABL,HMGI-C,HMGIC,LIPO,STQTL9	high mobility group AT-hook 2	gene with protein product	12q14.3	ENSG00000149948	NM_003483	8824803|9003504
SRSF3	chr6	36562145	36573377	+	CGC OG	SFRS3,SRP20	serine and arginine rich splicing factor 3	gene with protein product	6p21.31-p21.2	ENSG00000112081	NM_003017	1577277|20516191
EXT1	chr8	118806729	119124092	-	CGC TSG	EXT,LGCR,TRPS2,TTV,LGS	exostosin glycosyltransferase 1	gene with protein product	8q24.11	ENSG00000182197	NM_000127	
UBE2D3	chr4	103718409	103790032	-	NA	E2(17)KB3,UBCH5C,UBC5C	ubiquitin conjugating enzyme E2 D3	gene with protein product	4q24	ENSG00000109332	NM_181893	8530467
SETD1B	chr12	122242086	122270490	+	CGC TSG	KMT2G,SET1B,KIAA1076	SET domain containing 1B	gene with protein product	12q24.31	ENSG00000139718	XM_037523	10470851|17355966
COL1A2	chr7	94023873	94060544	+	NA	OI4	collagen type I alpha 2 chain	gene with protein product	7q21.3	ENSG00000164692	NM_000089	3857213|2897363
ARRDC3	chr5	90664541	90679176	-	NA	TLIMP,KIAA1376,TBP-2-LIKE INDUCIBLE MEMBRANE PROTEIN	arrestin domain containing 3	gene with protein product	5q14.3	ENSG00000113369	NM_020801	10718198|19605364
TNFRSF1A	chr12	6437923	6451280	-	NA	CD120A,FPF,P55-R,TNF-R,TNF-R-I,TNF-R55,TNFAR,TNFR1,TNFR55,TNFR60	TNF receptor superfamily member 1A	gene with protein product	12p13.31	ENSG00000067182	NM_001065	1655358|2158863
TFAP2A	chr6	10398105	10419871	-	NA	AP-2,AP-2ALPHA,AP2TF,BOFS,TFAP2	transcription factor AP-2 alpha	gene with protein product	6p24.3	ENSG00000137203	NM_003220	1916817|3063603
HSPA1B	chr6	31795512	31798032	+	NA	HSP70-1B,HSP70-2,HSP70.2	heat shock protein family A (Hsp70) member 1B	gene with protein product	6p21.33	ENSG00000204388	NM_005346	1700760
NR4A3	chr9	102584137	102629173	+	CGC OG	CSMF,MINOR,NOR1,TEC	nuclear receptor subfamily 4 group A member 3	gene with protein product	4p12-p11	ENSG00000135605	NM_003215	8614405
FRMD6	chr14	51955855	52197177	+	NA	C14ORF31,C14_5320,EX1,WILLIN,MGC17921	FERM domain containing 6	gene with protein product	14q22.1	ENSG00000139926	NM_152330	
ARHGAP21	chr10	24872538	25012597	-	NA	ARHGAP10,KIAA1424	Rho GTPase activating protein 21	gene with protein product	10p12.1	ENSG00000107863	NM_020824	12056806
ARID1B	chr6	157098508	157531913	+	CGC TSG	6A3-5,BAF250B,DAN15,ELD/OSA1,MRD12,OSA2,P250R,KIAA1235	AT-rich interaction domain 1B	gene with protein product	6q25.3	ENSG00000049618	NM_020732	
ZC3H12A	chr1	37940153	37949980	+	NA	DJ423B22.1,MCPIP,MCPIP1,FLJ23231,MCP INDUCED PROTEIN 1	zinc finger CCCH-type containing 12A	gene with protein product	1p34.3	ENSG00000163874	NM_025079	18178554|22055188
TWIST1	chr7	19060614	19156547	-	NA	BHLHA38,BPES2,BPES3,CRS,CRS1,CSO,SCS,TWIST,H-TWIST	twist family bHLH transcription factor 1	gene with protein product	7p21.1	ENSG00000122691	NM_000474	8995765|11474656|17343269
SKI	chr1	2160134	2241558	+	CGC OG	SKV,HHAT	SKI proto-oncogene	gene with protein product	1p36.33-p36.32	ENSG00000157933	NM_003036	2762147
PPP1R15B	chr1	204372515	204380919	-	NA	CREP,MSSGM2,FLJ14744	protein phosphatase 1 regulatory subunit 15B	gene with protein product	1q32.1	ENSG00000158615	NM_032833	11948623
MCL1	chr1	150547027	150552214	-	NA	BCL2-L-3,BCL2L3,EAT,MCL-1,MCL1-ES,MCL1/EAT,MCL1L,MCL1S	MCL1, BCL2 family apoptosis regulator	gene with protein product	1q21.2	ENSG00000143384	NM_021960	7682708|7835896
TWIST2	chr2	239756673	239832239	+	NA	AMS,BBRSAY,BHLHA39,DERMO1,FFDD3,SETLSS,DERMO-1	twist family bHLH transcription factor 2	gene with protein product	2q37.3	ENSG00000233608	NM_001271893	7589808|9061034
NFE2L1	chr17	46125725	46138849	+	NA	LCR-F1,NRF1,TCF11,FLJ00380,HBZ17	nuclear factor, erythroid 2 like 1	gene with protein product	7q32.2	ENSG00000106459	NM_001040110	8248256|9501099
DUSP1	chr5	172195093	172198198	-	NA	CL100,HVH1,MKP-1,MKP1,PTPN10,DUSP12,VH1	dual specificity phosphatase 1	gene with protein product	1q23.3	ENSG00000081721	NM_007240	1406996|7806236
DUSP5	chr10	112257596	112271302	+	NA	DUSP,HVH3,VH3	dual specificity phosphatase 5	gene with protein product	10q25.2	ENSG00000138166	NM_004419	7806236
EEF1A1	chr6	74225475	74230755	-	NA	CCS-3,CCS3,EE1A1,EEF1A,EEF1A-1,EF-TU,EF1A,GRAF-1EF,HNGC:16303,LENG7,PTI1	eukaryotic translation elongation factor 1 alpha 1	gene with protein product	6q13	ENSG00000156508	NM_001402	8812466|10941842
RAP2B	chr3	152880059	152888409	+	NA	RAS FAMILY SMALL GTP BINDING PROTEIN RAP2B	RAP2B, member of RAS oncogene family	gene with protein product	3q25.2	ENSG00000181467	NM_002886	2118648
SOX4	chr6	21592999	21598850	+	NA	EVI16	SRY-box 4	gene with protein product	6p22.3	ENSG00000124766	NM_003107	8268656|9730625
ZYX	chr7	143078173	143088204	+	NA	ESP-2,HED-2	zyxin	gene with protein product	7q34	ENSG00000159840	NM_003461	8917469|8940160
SATB2	chr2	200136873	200335989	-	NA	GLSS,FLJ21474,KIAA1034	SATB homeobox 2	gene with protein product	2q33.1	ENSG00000119042	NM_015265	
IRF2BPL	chr14	77490886	77495042	-	NA	EAP1,C14ORF4,KIAA1865	interferon regulatory factor 2 binding protein like	gene with protein product	14q24.3	ENSG00000119669	NM_024496	11095982|17627301
DCBLD2	chr3	98514785	98620533	-	NA	CLCP1,ESDN	discoidin, CUB and LCCL domain containing 2	gene with protein product	3q12.1	ENSG00000057019	NM_080927	11447234
CPEB2	chr4	15004298	15071777	+	NA	CPE-BP2,CPEB-2,HCPEB-2	cytoplasmic polyadenylation element binding protein 2	gene with protein product	4p15.32	ENSG00000137449	XM_059607	12672660
PTMA	chr2	232571605	232577723	+	NA	TMSA,PTMAP7	prothymosin, alpha	pseudogene	14q32.12		NG_002608	1612591
ANP32A	chr15	69070874	69113234	-	NA	C15ORF1,HPPCN,I1PP2A,LANP,MAPM,PHAP1,PHAPI,PP32,MAPMODULIN	acidic nuclear phosphoprotein 32 family member A	gene with protein product	15q23	ENSG00000140350	NM_006305	8970164|9144194
KLF9	chr9	72999513	73029540	-	NA	BTEB,BTEB1	Kruppel like factor 9	gene with protein product	9q21.12	ENSG00000119138	NM_001206	1356762
ARID5B	chr10	63661059	63856703	+	NA	DESRT,MRF-2,MRF2,FLJ21150	AT-rich interaction domain 5B	gene with protein product	10q21.2	ENSG00000150347	NM_032199	11483573|11478881
TCF7L2	chr10	114710009	114927437	+	CGC OG	TCF-4,TCF4	transcription factor 7 like 2	gene with protein product	10q25.2-q25.3	ENSG00000148737	NM_030756	1741298
ING1	chr13	111365625	111375686	+	NA	P24ING1C,P33ING1,P33ING1B,P47,P47ING1A,GROWTH INHIBITORY PROTEIN ING1	inhibitor of growth family member 1	gene with protein product	13q34	ENSG00000153487	NM_005537	8944021|9186514
ZBTB7B	chr1	154975106	154990998	+	NA	C-KROX,CKROX,HCKROX,THPOK,ZBTB15,ZFP-67,ZFP67,ZNF857B	zinc finger and BTB domain containing 7B	gene with protein product	1q21.3	ENSG00000160685	NM_015872	9370309|7937772
COL1A1	chr17	48260650	48278993	-	NA	OI1,OI2,OI3,OI4	collagen type I alpha 1 chain	gene with protein product	17q21.33	ENSG00000108821	NM_000088	3178743|2857713
IGF2BP2	chr3	185361527	185542844	-	CGC TSG	IMP-2,IMP2,VICKZ2,IGF II MRNA BINDING PROTEIN 2	insulin like growth factor 2 mRNA binding protein 2	gene with protein product	3q27.2	ENSG00000073792	NM_006548	10190901|9891060
BBC3	chr19	47724081	47736023	-	NA	JFY-1,JFY1,PUMA,P53-UPREGULATED MODULATOR OF APOPTOSIS	BCL2 binding component 3	gene with protein product	19q13.32	ENSG00000105327	NM_014417	11463392|11572983
PLK2	chr5	57749809	57756087	-	NA	HPLK2,HSNK,SNK,SERUM-INDUCIBLE KINASE	polo like kinase 2	gene with protein product	5q11.2	ENSG00000145632	NM_006622	
MT-CYB		NA	NA		NA	MTCYB,COB,UQCR3	mitochondrially encoded cytochrome b	gene with protein product	mitochondria	ENSG00000198727	YP_003024038	
ALKBH5	chr17	18086392	18112712	+	NA	ABH5,OFOXD,OFOXD1,FLJ20308	alkB homolog 5, RNA demethylase	gene with protein product	17p11.2	ENSG00000091542	NM_017758	11997338|24778178
IRS2	chr13	110405045	110438915	-	NA	IRS-2	insulin receptor substrate 2	gene with protein product	13q34	ENSG00000185950	NM_003749	9312143
ZFHX4	chr8	77593454	77779521	+	NA	ZFH4,ZHF4,FLJ20980	zinc finger homeobox 4	gene with protein product	8q21.13	ENSG00000091656	NM_024721	10873665|11935336
PHLDA1	chr12	76419227	76427712	-	NA	DT1P1B11,PHRIP,TDAG51,PROLINE-HISTIDINE RICH PROTEIN	pleckstrin homology like domain family A member 1	gene with protein product	12q15	ENSG00000139289	NM_007350	12384558|15037619
SPRY4	chr5	141689992	141704566	-	NA	HH17	sprouty RTK signaling antagonist 4	gene with protein product	5q31.3	ENSG00000187678	NM_001127496	16465403
TSC22D1	chr13	45006279	45150701	-	NA	PTG-2,TGFB1I4,TSC22,MGC17597,KIAA1994	TSC22 domain family member 1	gene with protein product	13q14.11	ENSG00000102804	NM_006022	8651929|9022669
RBMS3	chr3	28617957	30045525	+	NA	RNA-BINDING PROTEIN	RNA binding motif single stranded interacting protein 3	gene with protein product	3p24.1	ENSG00000144642	NM_001003792	10675610
SPN	chr16	29674576	29682197	+	NA	CD43,GALGP,GPL115,LSN,DEAF1,PPP1R9B,LEUKOSIALIN	sialophorin	gene with protein product	16p11.2	ENSG00000197471	NM_001030288	2784859|2521952
CITED2	chr6	139692944	139695757	-	NA	MRG1,ASD8,MRG-1,P35SRJ,VSD2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	gene with protein product	6q24.1	ENSG00000164442	NM_001168388	8901575|10552932
WNK1	chr12	861759	1020466	+	NA	HSAN2,HSN2,KDP,PPP1R167,PRKWNK1,KIAA0344	WNK lysine deficient protein kinase 1	gene with protein product	12p13.33	ENSG00000060237	NM_018979	
DDX3X	chrX	41192601	41223725	+	CGC TSG	CAP-RF,DBX,DDX14,DDX3,MRX102	DEAD-box helicase 3, X-linked	gene with protein product	Xp11.4	ENSG00000215301	NM_024005	9381176|9730595
BCOR	chrX	39910499	40036582	-	CGC TSG	ANOP2,MAA2,MCOPS2,FLJ20285,KIAA1575	BCL6 corepressor	gene with protein product	Xp11.4	ENSG00000183337	NM_017745	10898795
